Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Predicted_Score
6,59,Yes,4,9,47.0,51.900000000000006
8,48,No,5,4,40.0,62.8
9,98,Yes,7,7,100.0,93.3
4,44,Yes,9,0,23.0,46.4
1,62,No,4,4,36.0,36.199999999999996
1,72,No,7,0,47.0,48.199999999999996
4,77,Yes,8,6,60.0,57.19999999999999
7,95,No,9,6,83.0,83.0
2,53,Yes,8,9,33.0,28.299999999999997
3,56,No,5,7,36.0,38.1
1,96,No,8,6,74.0,53.599999999999994
5,58,No,4,8,42.0,47.8
1,72,Yes,5,7,47.0,37.699999999999996
8,40,Yes,7,7,31.0,53.5
1,52,No,5,2,26.0,33.2
1,85,Yes,7,9,58.0,42.5
2,66,No,6,3,42.0,45.1
2,45,Yes,4,3,18.0,32.5
6,98,No,4,0,85.0,88.8
7,45,Yes,7,5,36.0,54.5
5,72,Yes,8,1,58.0,66.69999999999999
1,69,Yes,9,8,45.0,34.4
1,85,Yes,8,0,60.0,56.0
3,74,Yes,6,0,56.0,59.4
2,62,Yes,7,9,42.0,33.699999999999996
5,49,No,6,5,33.0,46.9
6,90,No,7,0,77.0,84.0
7,58,Yes,6,2,51.0,66.8
4,90,No,7,9,72.0,60.5
7,67,Yes,4,1,57.0,73.69999999999999
8,62,No,6,8,53.0,65.19999999999999
1,43,No,6,4,16.0,24.8
6,59,No,7,5,45.0,57.900000000000006
8,58,No,5,1,49.0,73.3
5,81,Yes,5,7,67.0,63.099999999999994
4,66,No,4,5,49.0,52.1
2,96,No,8,7,73.0,57.099999999999994
6,73,No,8,7,65.0,63.3
6,43,Yes,4,0,27.0,55.8
1,95,No,8,6,72.0,53.0
9,77,Yes,9,1,74.0,89.69999999999999
6,46,Yes,9,7,38.0,47.099999999999994
3,87,No,9,1,67.0,65.69999999999999
4,46,Yes,9,3,28.0,43.099999999999994
4,89,No,7,1,73.0,71.9
3,91,No,5,6,72.0,60.599999999999994
3,65,No,4,4,42.0,48.0
3,65,No,7,8,47.0,42.0
4,93,No,9,4,77.0,69.8
7,58,No,4,7,49.0,59.3
4,48,No,5,1,30.0,47.3
9,59,Yes,8,2,54.0,77.4
1,81,Yes,7,5,56.0,46.1
8,84,No,5,6,75.0,81.4
7,89,No,4,9,78.0,74.9
2,55,Yes,6,7,32.0,32.5
8,93,No,7,2,89.0,92.8
1,56,Yes,4,6,29.0,29.6
9,61,Yes,4,7,57.0,71.1
9,52,No,5,9,48.0,62.7
2,51,No,4,5,27.0,33.099999999999994
7,49,Yes,7,3,38.0,59.900000000000006
3,40,Yes,9,5,18.0,31.5
7,71,No,7,8,66.0,65.6
9,69,No,4,2,65.0,83.4
4,47,Yes,5,1,27.0,46.7
1,60,Yes,7,4,33.0,35.0
2,61,Yes,6,6,37.0,37.6
1,57,No,9,2,29.0,36.199999999999996
5,41,No,8,4,26.0,43.599999999999994
5,87,No,5,3,72.0,72.69999999999999
7,83,Yes,5,6,77.0,75.8
9,48,Yes,8,1,45.0,72.3
9,42,No,8,6,41.0,61.2
3,93,Yes,7,1,73.0,69.3
3,65,Yes,4,2,43.0,51.0
3,60,Yes,4,4,39.0,45.0
4,69,Yes,6,6,54.0,52.4
8,67,Yes,9,5,62.0,72.69999999999999
6,75,No,4,6,63.0,66.0
8,65,No,6,5,59.0,71.5
1,73,No,6,0,46.0,48.8
8,47,No,5,4,42.0,62.2
4,49,No,5,0,30.0,49.4
1,87,Yes,9,6,63.0,48.199999999999996
8,94,Yes,7,3,89.0,91.9
4,82,Yes,8,4,62.0,63.19999999999999
6,89,No,8,0,77.0,83.4
8,93,Yes,9,7,88.0,85.3
4,53,Yes,6,3,35.0,47.3
3,79,Yes,9,2,60.0,59.4
9,94,No,8,0,92.0,101.4
3,54,Yes,6,3,38.0,42.9
9,56,Yes,8,2,56.0,75.6
2,92,No,7,7,70.0,54.69999999999999
2,57,No,5,8,35.0,32.199999999999996
2,71,Yes,5,4,47.0,46.6
6,77,No,6,8,66.0,64.19999999999999
3,62,Yes,9,0,43.0,52.199999999999996
9,85,No,8,6,81.0,87.0
4,62,Yes,4,6,43.0,48.199999999999996
1,74,Yes,7,5,46.0,41.9
4,78,No,8,3,61.0,62.3
1,54,No,4,8,27.0,25.4
5,92,No,7,2,77.0,77.19999999999999
4,63,No,7,0,43.0,57.8
8,67,Yes,5,1,60.0,78.69999999999999
8,55,No,6,2,48.0,70.0
7,55,Yes,8,1,47.0,66.5
3,79,Yes,7,5,60.0,54.9
1,78,Yes,8,6,53.0,42.8
1,45,No,7,4,19.0,26.0
3,41,Yes,9,4,23.0,33.599999999999994
6,93,Yes,5,6,81.0,76.8
7,52,No,6,5,41.0,58.7
6,83,Yes,4,7,71.0,69.3
6,86,Yes,4,8,75.0,69.6
6,98,Yes,9,1,89.0,87.3
3,48,No,5,1,28.0,42.3
6,73,Yes,7,0,60.0,73.8
8,56,Yes,5,6,54.0,64.6
2,66,Yes,6,3,41.0,45.1
5,68,No,4,8,52.0,53.8
1,76,No,8,5,53.0,43.1
1,82,No,4,6,52.0,45.199999999999996
5,61,Yes,6,6,47.0,52.6
3,90,Yes,7,7,71.0,58.5
4,63,Yes,5,3,42.0,53.3
3,46,Yes,4,2,21.0,39.599999999999994
1,73,Yes,4,2,48.0,45.8
1,87,No,8,9,64.0,43.699999999999996
5,51,Yes,5,7,38.0,45.099999999999994
6,62,Yes,8,2,49.0,64.19999999999999
3,54,No,8,7,35.0,36.9
9,72,No,7,1,73.0,86.69999999999999
5,96,Yes,4,4,81.0,76.6
8,52,No,9,4,47.0,65.2
1,62,No,5,6,36.0,33.199999999999996
5,77,No,7,4,63.0,65.19999999999999
3,71,Yes,9,8,52.0,45.6
1,84,No,7,2,58.0,52.4
4,89,Yes,7,8,77.0,61.400000000000006
5,74,No,6,0,58.0,69.4
7,40,Yes,6,2,33.0,56.0
1,86,Yes,7,3,67.0,52.1
3,97,Yes,6,5,76.0,65.69999999999999
2,84,No,5,9,62.0,46.9
9,44,No,4,7,37.0,60.900000000000006
6,96,No,9,6,86.0,78.6
3,52,Yes,5,7,37.0,35.7
8,93,No,4,5,88.0,88.3
8,44,No,6,5,38.0,58.900000000000006
2,99,Yes,9,5,76.0,61.900000000000006
6,71,No,5,2,57.0,69.6
7,90,Yes,8,9,82.0,75.5
2,60,No,7,3,35.0,41.5
2,63,Yes,4,5,41.0,40.3
1,99,Yes,4,6,75.0,55.400000000000006
8,57,No,8,2,51.0,71.19999999999999
1,60,Yes,8,3,34.0,36.5
9,93,No,7,5,92.0,93.3
6,49,No,6,0,39.0,59.4
7,63,No,5,6,56.0,63.8
7,79,No,5,0,69.0,82.4
3,86,Yes,5,9,69.0,53.099999999999994
2,60,Yes,6,8,40.0,34.0
9,64,Yes,7,9,63.0,69.9
8,91,No,5,8,86.0,82.6
7,99,No,4,8,89.0,82.4
9,96,Yes,4,3,94.0,98.1
4,98,Yes,4,1,79.0,77.3
4,62,No,8,6,44.0,48.199999999999996
1,61,No,8,3,33.0,37.1
8,43,No,6,4,36.0,59.8
3,73,Yes,5,0,50.0,58.8
7,95,No,8,9,94.0,78.5
2,45,Yes,4,5,22.0,29.5
2,67,No,8,6,44.0,41.199999999999996
7,70,Yes,4,2,60.0,74.0
6,74,No,5,9,64.0,60.900000000000006
3,78,Yes,6,1,58.0,60.3
9,81,Yes,7,9,78.0,80.1
6,62,Yes,7,6,51.0,58.19999999999999
6,45,No,4,0,30.0,57.0
1,55,Yes,8,1,29.0,36.5
4,41,Yes,8,2,22.0,41.599999999999994
6,63,No,4,3,51.0,63.3
6,56,Yes,5,4,45.0,57.6
5,84,Yes,4,3,70.0,70.9
1,40,No,5,9,10.0,15.5
8,45,Yes,6,2,38.0,64.0
5,44,No,6,0,30.0,51.4
5,96,Yes,4,6,82.0,73.6
7,84,No,6,9,74.0,71.9
4,99,Yes,8,5,87.0,71.9
6,94,Yes,5,1,77.0,84.9
4,89,Yes,7,1,72.0,71.9
3,68,No,7,2,51.0,52.8
7,51,Yes,6,7,40.0,55.099999999999994
8,78,Yes,5,7,72.0,76.3
4,86,No,8,9,68.0,58.099999999999994
2,42,No,7,9,22.0,21.700000000000003
3,87,No,8,9,67.0,53.69999999999999
1,40,Yes,8,9,18.0,15.5
8,66,Yes,7,7,64.0,69.1
3,87,Yes,7,6,66.0,58.19999999999999
7,63,No,6,1,50.0,71.3
5,83,No,5,0,68.0,74.8
5,58,Yes,4,5,44.0,52.3
7,98,Yes,5,7,90.0,83.3
9,47,No,4,0,41.0,73.2
5,94,No,7,2,83.0,78.4
1,83,No,8,0,57.0,54.8
1,86,Yes,5,9,64.0,43.1
2,41,No,8,8,18.0,22.599999999999994
6,69,No,5,6,62.0,62.400000000000006
9,69,No,9,7,66.0,75.9
8,88,No,5,8,85.0,80.8
5,78,Yes,8,2,62.0,68.8
1,84,No,9,9,62.0,41.9
7,71,Yes,6,1,62.0,76.1
5,40,Yes,7,5,26.0,41.5
6,77,No,6,4,66.0,70.19999999999999
7,52,No,6,3,43.0,61.7
3,50,Yes,5,5,30.0,37.5
3,49,No,7,5,25.0,36.9
5,87,Yes,9,2,77.0,74.19999999999999
6,98,No,5,1,88.0,87.3
9,65,Yes,4,8,62.0,72.0
5,95,Yes,5,7,82.0,71.5
1,94,Yes,9,3,73.0,56.9
4,59,No,8,5,44.0,47.9
5,56,Yes,5,2,40.0,55.6
5,56,Yes,4,7,39.0,48.1
7,43,No,5,2,34.0,57.8
4,44,No,9,1,27.0,44.9
1,99,Yes,4,6,73.0,55.400000000000006
5,62,Yes,7,2,46.0,59.199999999999996
7,85,No,9,8,78.0,74.0
6,91,Yes,5,2,80.0,81.6
5,49,No,4,7,33.0,43.9
4,85,No,9,1,68.0,69.5
2,67,No,7,8,45.0,38.199999999999996
4,72,Yes,8,0,56.0,63.199999999999996
3,82,No,6,2,58.0,61.19999999999999
1,65,Yes,4,1,37.0,42.5
8,94,Yes,8,6,88.0,87.4
5,89,No,7,4,75.0,72.4
4,87,No,8,7,70.0,61.69999999999999
8,68,No,5,1,62.0,79.3
7,66,No,6,7,57.0,64.1
2,57,Yes,4,6,32.0,35.199999999999996
1,79,Yes,9,4,53.0,46.4
4,99,No,7,1,82.0,77.9
8,49,Yes,6,9,41.0,55.900000000000006
2,97,No,7,6,75.0,59.19999999999999
3,81,Yes,8,9,63.0,50.1
1,44,Yes,7,3,17.0,26.9
1,49,Yes,7,3,24.0,29.9
3,89,No,8,7,69.0,57.900000000000006
5,60,Yes,8,5,47.0,53.5
3,63,Yes,6,8,43.0,40.8
1,77,Yes,4,1,48.0,49.699999999999996
1,42,Yes,8,4,17.0,24.2
8,79,No,6,5,75.0,79.9
2,70,Yes,7,7,54.0,41.5
3,80,No,7,3,59.0,58.5
2,76,No,9,6,56.0,46.6
3,41,Yes,5,6,20.0,30.599999999999994
7,41,Yes,8,3,34.0,55.099999999999994
1,78,No,6,0,54.0,51.8
8,88,No,9,2,83.0,89.8
2,81,No,6,1,59.0,57.1
3,83,Yes,4,2,63.0,61.8
9,73,Yes,9,4,72.0,82.8
7,81,No,6,0,70.0,83.6
4,59,No,8,4,41.0,49.4
5,72,No,6,1,54.0,66.69999999999999
2,43,Yes,5,3,21.0,31.299999999999997
8,84,Yes,7,5,83.0,82.9
4,83,No,7,8,64.0,57.8
9,50,Yes,9,9,51.0,61.5
5,81,No,6,5,66.0,66.1
9,86,Yes,6,9,83.0,83.1
4,44,No,6,1,26.0,44.9
5,64,Yes,6,7,49.0,52.9
9,88,Yes,5,4,85.0,91.8
8,99,Yes,8,8,95.0,87.4
3,76,Yes,5,9,56.0,47.1
1,73,Yes,5,8,50.0,36.8
3,48,Yes,5,3,23.0,39.3
4,45,Yes,7,0,26.0,47.0
2,57,No,5,8,30.0,32.199999999999996
1,53,No,6,8,28.0,24.799999999999997
7,58,No,5,7,48.0,59.3
8,53,Yes,6,4,46.0,65.8
7,79,Yes,9,4,73.0,76.4
5,56,Yes,8,9,45.0,45.1
1,99,No,7,5,76.0,56.900000000000006
7,74,No,8,0,71.0,79.4
7,68,No,9,8,60.0,63.8
9,81,No,8,4,77.0,87.6
3,56,No,7,6,36.0,39.6
9,98,No,6,7,96.0,93.3
1,82,Yes,9,4,62.0,48.199999999999996
1,47,No,9,2,22.0,30.200000000000003
4,40,Yes,6,5,21.0,36.5
9,84,No,6,6,79.0,86.4
6,92,No,7,3,82.0,80.69999999999999
3,75,Yes,5,8,55.0,48.0
1,46,Yes,4,3,22.0,28.099999999999994
4,85,Yes,5,9,70.0,57.5
9,44,No,5,1,37.0,69.9
3,63,No,8,8,42.0,40.8
9,67,Yes,4,3,64.0,80.69999999999999
7,82,No,6,3,72.0,79.69999999999999
4,56,Yes,5,9,42.0,40.1
3,76,No,7,0,56.0,60.6
5,59,No,5,1,43.0,58.9
5,42,No,6,2,24.0,47.2
3,76,Yes,5,6,55.0,51.6
9,65,No,9,8,64.0,72.0
4,54,Yes,8,4,34.0,46.4
5,90,Yes,8,3,78.0,74.5
4,87,Yes,5,1,71.0,70.69999999999999
5,47,Yes,8,6,33.0,44.2
7,52,Yes,7,5,46.0,58.7
9,87,Yes,4,6,86.0,88.19999999999999
7,42,Yes,5,7,34.0,49.7
5,40,Yes,7,8,26.0,37.0
7,48,Yes,9,9,44.0,50.3
5,70,No,7,4,53.0,61.0
3,80,Yes,7,4,61.0,57.0
7,93,No,9,3,84.0,86.3
2,65,Yes,6,2,40.0,46.0
9,56,No,5,6,53.0,69.6
1,95,No,5,4,67.0,56.0
6,73,No,5,6,58.0,64.8
7,48,No,4,1,41.0,62.3
8,95,No,7,8,89.0,85.0
9,90,No,5,8,85.0,87.0
2,52,Yes,8,8,33.0,29.200000000000003
2,44,Yes,6,4,20.0,30.4
5,80,Yes,9,9,66.0,59.5
5,52,Yes,9,8,38.0,44.2
6,40,Yes,4,0,25.0,54.0
3,64,Yes,9,1,43.0,51.9
8,86,No,6,9,79.0,78.1
1,43,Yes,7,4,16.0,24.8
6,75,No,9,4,67.0,69.0
4,91,No,9,5,80.0,67.1
1,49,No,8,7,26.0,23.9
7,67,No,7,0,57.0,75.19999999999999
9,96,No,5,9,91.0,89.1
4,45,No,6,8,29.0,35.0
4,66,Yes,9,3,48.0,55.1
6,95,No,8,7,84.0,76.5
3,51,No,6,4,33.0,39.599999999999994
6,91,Yes,4,0,82.0,84.6
7,87,Yes,8,8,81.0,75.19999999999999
3,42,Yes,4,7,24.0,29.700000000000003
7,85,Yes,9,4,81.0,80.0
3,72,Yes,8,3,54.0,53.699999999999996
2,49,Yes,5,7,25.0,28.9
4,70,Yes,6,8,53.0,50.0
8,54,No,6,6,48.0,63.400000000000006
9,46,Yes,7,3,40.0,68.1
7,75,No,8,6,66.0,71.0
1,53,Yes,8,5,29.0,29.299999999999997
3,95,Yes,4,2,73.0,69.0
9,87,No,8,9,89.0,83.69999999999999
1,53,Yes,6,2,27.0,33.8
9,42,Yes,8,0,40.0,70.2
8,88,Yes,7,4,83.0,86.8
1,92,Yes,7,7,69.0,49.699999999999996
6,85,Yes,6,5,72.0,73.5
5,89,Yes,6,7,77.0,67.9
6,42,Yes,6,6,32.0,46.2
5,61,No,8,1,49.0,60.1
6,58,Yes,8,7,44.0,54.3
5,74,No,5,3,57.0,64.9
5,51,No,9,4,34.0,49.599999999999994
4,93,No,9,7,76.0,65.3
3,44,No,4,4,22.0,35.4
3,49,No,8,4,30.0,38.4
4,80,No,5,5,67.0,60.5
9,72,No,5,6,71.0,79.19999999999999
2,52,Yes,7,8,29.0,29.200000000000003
9,74,Yes,8,6,74.0,80.4
1,90,Yes,5,5,67.0,51.5
1,71,No,7,9,46.0,34.1
5,50,Yes,4,3,34.0,50.5
6,87,No,7,9,76.0,68.69999999999999
6,77,No,4,1,64.0,74.69999999999999
3,63,Yes,9,8,46.0,40.8
7,74,No,9,9,68.0,65.9
9,58,No,6,4,58.0,73.8
8,45,Yes,6,4,41.0,61.0
6,79,No,7,2,64.0,74.4
8,93,Yes,6,2,84.0,92.8
5,84,No,8,0,70.0,75.4
8,83,No,7,4,77.0,83.8
4,81,Yes,5,2,60.0,65.6
8,74,Yes,8,1,65.0,82.9
2,43,Yes,7,8,21.0,23.799999999999997
5,72,No,9,9,60.0,54.69999999999999
9,52,No,4,5,48.0,68.7
4,95,Yes,6,2,77.0,74.0
6,75,Yes,6,6,63.0,66.0
1,93,Yes,6,8,68.0,48.8
9,82,No,7,8,81.0,82.19999999999999
1,58,No,8,0,29.0,39.8
5,82,Yes,4,1,66.0,72.69999999999999
4,51,Yes,6,7,36.0,40.099999999999994
3,50,Yes,8,0,29.0,45.0
6,45,No,5,2,32.0,54.0
2,51,Yes,9,6,31.0,31.599999999999994
3,66,Yes,5,7,45.0,44.1
5,80,Yes,4,4,65.0,67.0
9,64,No,6,1,57.0,81.9
2,81,No,5,2,58.0,55.6
8,42,Yes,9,8,38.0,53.2
2,42,No,8,9,22.0,21.700000000000003
5,59,Yes,8,6,48.0,51.4
7,67,Yes,5,0,59.0,75.19999999999999
8,62,Yes,6,2,58.0,74.19999999999999
1,87,Yes,9,8,62.0,45.199999999999996
6,42,No,4,6,30.0,46.2
1,81,Yes,6,1,56.0,52.1
2,63,Yes,7,5,40.0,40.3
1,82,No,5,8,59.0,42.199999999999996
5,79,Yes,7,3,65.0,67.9
9,45,No,5,9,43.0,58.5
6,59,Yes,4,1,48.0,63.900000000000006
1,50,Yes,6,2,24.0,32.0
1,71,Yes,9,6,51.0,38.6
2,99,Yes,6,3,81.0,64.9
9,66,No,5,6,62.0,75.6
3,60,Yes,8,4,43.0,45.0
1,83,No,7,7,63.0,44.3
5,87,No,9,7,73.0,66.69999999999999
7,89,No,9,4,76.0,82.4
6,52,Yes,6,6,43.0,52.2
1,61,No,6,5,34.0,34.1
5,74,No,5,7,57.0,58.900000000000006
5,86,No,8,8,72.0,64.6
6,61,Yes,7,4,47.0,60.599999999999994
3,67,Yes,8,6,52.0,46.199999999999996
5,60,No,9,0,49.0,61.0
7,85,No,8,7,77.0,75.5
5,57,Yes,5,2,41.0,56.199999999999996
5,70,No,8,0,56.0,67.0
5,99,No,7,5,89.0,76.9
3,85,No,9,7,65.0,55.5
1,76,Yes,4,2,49.0,47.6
5,60,No,9,0,48.0,61.0
9,53,No,4,2,47.0,73.8
1,64,Yes,7,4,37.0,37.4
3,66,No,9,7,48.0,44.1
4,79,Yes,9,8,61.0,55.400000000000006
1,99,Yes,9,8,77.0,52.400000000000006
1,99,Yes,9,3,75.0,59.900000000000006
8,62,No,5,7,57.0,66.69999999999999
2,70,No,6,4,45.0,46.0
8,86,No,9,2,82.0,88.6
7,99,No,5,4,90.0,88.4
2,68,No,7,1,42.0,49.3
6,86,No,9,5,74.0,74.1
6,69,No,8,0,60.0,71.4
3,90,No,9,5,73.0,61.5
2,65,Yes,9,4,40.0,43.0
1,59,No,4,8,32.0,28.4
6,77,No,8,6,67.0,67.19999999999999
5,58,Yes,9,5,46.0,52.3
9,66,No,9,6,65.0,75.6
1,64,Yes,9,9,42.0,29.9
7,79,No,5,4,69.0,76.4
5,77,No,7,0,62.0,71.19999999999999
5,91,Yes,4,8,75.0,67.6
2,62,Yes,9,4,40.0,41.199999999999996
3,68,No,7,3,43.0,51.3
7,54,Yes,4,5,42.0,59.900000000000006
6,98,No,4,4,84.0,82.8
2,42,No,4,0,15.0,35.2
6,49,No,9,1,39.0,57.9
2,54,No,5,3,26.0,37.9
2,95,No,9,7,73.0,56.5
2,55,No,9,4,34.0,37.0
3,56,Yes,7,6,34.0,39.6
2,58,Yes,6,1,37.0,43.3
4,50,Yes,6,7,34.0,39.5
9,87,No,6,4,85.0,91.19999999999999
6,44,Yes,7,3,31.0,51.9
1,44,No,8,8,18.0,19.4
8,97,Yes,7,5,92.0,90.69999999999999
7,53,No,4,3,44.0,62.3
3,89,No,9,7,72.0,57.900000000000006
1,65,No,8,2,40.0,41.0
5,47,No,4,9,31.0,39.7
4,44,No,9,1,25.0,44.9
8,46,Yes,9,6,44.0,58.599999999999994
1,55,No,4,3,27.0,33.5
1,94,Yes,7,3,66.0,56.9
4,53,No,6,9,34.0,38.3
8,76,No,8,8,70.0,73.6
5,95,No,9,1,81.0,80.5
2,80,Yes,5,0,56.0,58.0
6,43,No,9,6,30.0,46.8
5,75,Yes,6,7,60.0,59.5
2,87,No,9,2,64.0,59.199999999999996
3,95,Yes,5,1,74.0,70.5
9,56,Yes,7,3,52.0,74.1
7,86,Yes,9,1,84.0,85.1
7,75,No,8,1,66.0,78.5
6,45,No,7,4,32.0,51.0
8,55,Yes,5,9,47.0,59.5
4,68,No,4,4,51.0,54.8
8,75,No,9,7,67.0,74.5
4,77,No,7,8,57.0,54.19999999999999
8,76,Yes,9,1,71.0,84.1
9,87,Yes,8,0,86.0,97.19999999999999
3,96,No,9,2,77.0,69.6
3,87,Yes,7,5,72.0,59.69999999999999
2,49,No,6,4,24.0,33.4
3,80,No,7,7,60.0,52.5
3,75,Yes,5,7,55.0,49.5
5,68,Yes,7,1,54.0,64.3
5,53,No,8,8,39.0,44.8
2,43,No,7,3,19.0,31.299999999999997
6,83,No,7,0,68.0,79.8
5,95,Yes,8,1,83.0,80.5
6,81,Yes,7,5,72.0,71.1
1,75,No,8,4,49.0,44.0
5,89,No,5,6,74.0,69.4
9,84,Yes,8,8,86.0,83.4
2,52,No,5,5,26.0,33.7
1,85,Yes,5,5,60.0,48.5
9,57,Yes,8,1,54.0,77.69999999999999
9,72,No,7,6,73.0,79.19999999999999
9,60,No,9,1,61.0,79.5
6,55,Yes,6,6,45.0,54.0
8,54,No,9,7,57.0,61.900000000000006
1,93,Yes,8,0,68.0,60.8
4,96,Yes,7,8,72.0,65.6
1,44,Yes,5,7,17.0,20.9
8,45,No,4,8,37.0,55.0
1,77,No,6,4,54.0,45.199999999999996
3,42,No,9,3,22.0,35.7
